Cidade;Estado;Data;Feriado;Tipo
Adamantina;SP;01/01/2023;Ano Novo;Feriado Nacional
Adamantina;SP;20/02/2023;Carnaval;Feriado Nacional
Adamantina;SP;21/02/2023;Carnaval;Feriado Nacional
Adamantina;SP;22/02/2023;Carnaval;Feriado Nacional
Adamantina;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Adamantina;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Adamantina;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Adamantina;SP;08/06/2023;Corpus Christi;Feriado Nacional
Adamantina;SP;13/06/2023;Dia De Santo Antônio;Feriado Municipal
Adamantina;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Adamantina;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Adamantina;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Adamantina;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Adamantina;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Adamantina;SP;02/11/2023;Dia De Finados;Feriado Nacional
Adamantina;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Adamantina;SP;08/12/2023;Feriado Municipal;Feriado Municipal
Adamantina;SP;25/12/2023;Natal;Feriado Nacional
Adolfo;SP;01/01/2023;Ano Novo;Feriado Nacional
Adolfo;SP;20/02/2023;Carnaval;Feriado Nacional
Adolfo;SP;21/02/2023;Carnaval;Feriado Nacional
Adolfo;SP;22/02/2023;Carnaval;Feriado Nacional
Adolfo;SP;19/03/2023;São José;Feriado Municipal
Adolfo;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Adolfo;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Adolfo;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Adolfo;SP;08/06/2023;Corpus Christi;Feriado Nacional
Adolfo;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Adolfo;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Adolfo;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Adolfo;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Adolfo;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Adolfo;SP;02/11/2023;Dia De Finados;Feriado Nacional
Adolfo;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Adolfo;SP;30/11/2023;Feriado Municipal;Feriado Municipal
Adolfo;SP;25/12/2023;Natal;Feriado Nacional
Aguaí;SP;01/01/2023;Ano Novo;Feriado Nacional
Aguaí;SP;20/02/2023;Carnaval;Feriado Nacional
Aguaí;SP;21/02/2023;Carnaval;Feriado Nacional
Aguaí;SP;22/02/2023;Carnaval;Feriado Nacional
Aguaí;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Aguaí;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Aguaí;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Aguaí;SP;08/06/2023;Corpus Christi;Feriado Nacional
Aguaí;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Aguaí;SP;06/08/2023;Aniversário;Feriado Municipal
Aguaí;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Aguaí;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Aguaí;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Aguaí;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Aguaí;SP;02/11/2023;Dia De Finados;Feriado Nacional
Aguaí;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Aguaí;SP;20/11/2023;Dia Da Consciência Negra;Feriado Municipal
Aguaí;SP;25/12/2023;Natal;Feriado Nacional
Águas da Prata;SP;01/01/2023;Ano Novo;Feriado Nacional
Águas da Prata;SP;11/02/2023;Feriado Municipal;Feriado Municipal
Águas da Prata;SP;20/02/2023;Carnaval;Feriado Nacional
Águas da Prata;SP;21/02/2023;Carnaval;Feriado Nacional
Águas da Prata;SP;22/02/2023;Carnaval;Feriado Nacional
Águas da Prata;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Águas da Prata;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Águas da Prata;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Águas da Prata;SP;08/06/2023;Corpus Christi;Feriado Nacional
Águas da Prata;SP;03/07/2023;Feriado Municipal;Feriado Municipal
Águas da Prata;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Águas da Prata;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Águas da Prata;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Águas da Prata;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Águas da Prata;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Águas da Prata;SP;02/11/2023;Dia De Finados;Feriado Nacional
Águas da Prata;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Águas da Prata;SP;20/11/2023;Dia Da Consciência Negra;Feriado Municipal
Águas da Prata;SP;25/12/2023;Natal;Feriado Nacional
Águas de Lindóia;SP;01/01/2023;Ano Novo;Feriado Nacional
Águas de Lindóia;SP;20/02/2023;Carnaval;Feriado Nacional
Águas de Lindóia;SP;21/02/2023;Carnaval;Feriado Nacional
Águas de Lindóia;SP;22/02/2023;Carnaval;Feriado Nacional
Águas de Lindóia;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Águas de Lindóia;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Águas de Lindóia;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Águas de Lindóia;SP;08/06/2023;Corpus Christi;Feriado Nacional
Águas de Lindóia;SP;02/07/2023;Feriado Municipal;Feriado Municipal
Águas de Lindóia;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Águas de Lindóia;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Águas de Lindóia;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Águas de Lindóia;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Águas de Lindóia;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Águas de Lindóia;SP;02/11/2023;Dia De Finados;Feriado Nacional
Águas de Lindóia;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Águas de Lindóia;SP;16/11/2023;Feriado Municipal;Feriado Municipal
Águas de Lindóia;SP;25/12/2023;Natal;Feriado Nacional
Águas de Santa Bárbara;SP;01/01/2023;Ano Novo;Feriado Nacional
Águas de Santa Bárbara;SP;20/02/2023;Carnaval;Feriado Nacional
Águas de Santa Bárbara;SP;21/02/2023;Carnaval;Feriado Nacional
Águas de Santa Bárbara;SP;22/02/2023;Carnaval;Feriado Nacional
Águas de Santa Bárbara;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Águas de Santa Bárbara;SP;20/04/2023;Feriado Municipal;Feriado Municipal
Águas de Santa Bárbara;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Águas de Santa Bárbara;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Águas de Santa Bárbara;SP;08/06/2023;Corpus Christi;Feriado Nacional
Águas de Santa Bárbara;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Águas de Santa Bárbara;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Águas de Santa Bárbara;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Águas de Santa Bárbara;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Águas de Santa Bárbara;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Águas de Santa Bárbara;SP;02/11/2023;Dia De Finados;Feriado Nacional
Águas de Santa Bárbara;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Águas de Santa Bárbara;SP;04/12/2023;Feriado Municipal;Feriado Municipal
Águas de Santa Bárbara;SP;25/12/2023;Natal;Feriado Nacional
Águas de São Pedro;SP;01/01/2023;Ano Novo;Feriado Nacional
Águas de São Pedro;SP;20/02/2023;Carnaval;Feriado Nacional
Águas de São Pedro;SP;21/02/2023;Carnaval;Feriado Nacional
Águas de São Pedro;SP;22/02/2023;Carnaval;Feriado Nacional
Águas de São Pedro;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Águas de São Pedro;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Águas de São Pedro;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Águas de São Pedro;SP;08/06/2023;Corpus Christi;Feriado Nacional
Águas de São Pedro;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Águas de São Pedro;SP;25/07/2023;Feriado Municipal;Feriado Municipal
Águas de São Pedro;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Águas de São Pedro;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Águas de São Pedro;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Águas de São Pedro;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Águas de São Pedro;SP;02/11/2023;Dia De Finados;Feriado Nacional
Águas de São Pedro;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Águas de São Pedro;SP;20/11/2023;Dia Da Consciência Negra;Feriado Municipal
Águas de São Pedro;SP;08/12/2023;Feriado Municipal;Feriado Municipal
Águas de São Pedro;SP;25/12/2023;Natal;Feriado Nacional
Agudos;SP;01/01/2023;Ano Novo;Feriado Nacional
Agudos;SP;20/02/2023;Carnaval;Feriado Nacional
Agudos;SP;21/02/2023;Carnaval;Feriado Nacional
Agudos;SP;22/02/2023;Carnaval;Feriado Nacional
Agudos;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Agudos;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Agudos;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Agudos;SP;08/06/2023;Corpus Christi;Feriado Nacional
Agudos;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Agudos;SP;27/07/2023;Feriado Municipal;Feriado Municipal
Agudos;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Agudos;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Agudos;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Agudos;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Agudos;SP;02/11/2023;Dia De Finados;Feriado Nacional
Agudos;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Agudos;SP;25/12/2023;Natal;Feriado Nacional
Alambari;SP;01/01/2023;Ano Novo;Feriado Nacional
Alambari;SP;20/02/2023;Carnaval;Feriado Nacional
Alambari;SP;21/02/2023;Carnaval;Feriado Nacional
Alambari;SP;22/02/2023;Carnaval;Feriado Nacional
Alambari;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Alambari;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Alambari;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Alambari;SP;08/06/2023;Corpus Christi;Feriado Nacional
Alambari;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Alambari;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Alambari;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Alambari;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Alambari;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Alambari;SP;02/11/2023;Dia De Finados;Feriado Nacional
Alambari;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Alambari;SP;25/12/2023;Natal;Feriado Nacional
Alfredo Marcondes;SP;01/01/2023;Ano Novo;Feriado Nacional
Alfredo Marcondes;SP;20/02/2023;Carnaval;Feriado Nacional
Alfredo Marcondes;SP;21/02/2023;Carnaval;Feriado Nacional
Alfredo Marcondes;SP;22/02/2023;Carnaval;Feriado Nacional
Alfredo Marcondes;SP;04/04/2023;Feriado Municipal;Feriado Municipal
Alfredo Marcondes;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Alfredo Marcondes;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Alfredo Marcondes;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Alfredo Marcondes;SP;08/06/2023;Corpus Christi;Feriado Nacional
Alfredo Marcondes;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Alfredo Marcondes;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Alfredo Marcondes;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Alfredo Marcondes;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Alfredo Marcondes;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Alfredo Marcondes;SP;02/11/2023;Dia De Finados;Feriado Nacional
Alfredo Marcondes;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Alfredo Marcondes;SP;20/11/2023;Dia Da Consciência Negra;Feriado Municipal
Alfredo Marcondes;SP;24/12/2023;Feriado Municipal;Feriado Municipal
Alfredo Marcondes;SP;25/12/2023;Natal;Feriado Nacional
Altair;SP;01/01/2023;Ano Novo;Feriado Nacional
Altair;SP;20/01/2023;Feriado Municipal;Feriado Municipal
Altair;SP;20/02/2023;Carnaval;Feriado Nacional
Altair;SP;21/02/2023;Carnaval;Feriado Nacional
Altair;SP;22/02/2023;Carnaval;Feriado Nacional
Altair;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Altair;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Altair;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Altair;SP;08/06/2023;Corpus Christi;Feriado Nacional
Altair;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Altair;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Altair;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Altair;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Altair;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Altair;SP;02/11/2023;Dia De Finados;Feriado Nacional
Altair;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Altair;SP;20/11/2023;Dia Da Consciência Negra;Feriado Municipal
Altair;SP;08/12/2023;Feriado Municipal;Feriado Municipal
Altair;SP;25/12/2023;Natal;Feriado Nacional
Altair;SP;31/12/2023;Feriado Municipal;Feriado Municipal
Altinópolis;SP;01/01/2023;Ano Novo;Feriado Nacional
Altinópolis;SP;20/02/2023;Carnaval;Feriado Nacional
Altinópolis;SP;21/02/2023;Carnaval;Feriado Nacional
Altinópolis;SP;22/02/2023;Carnaval;Feriado Nacional
Altinópolis;SP;09/03/2023;Feriado Municipal;Feriado Municipal
Altinópolis;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Altinópolis;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Altinópolis;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Altinópolis;SP;08/06/2023;Corpus Christi;Feriado Nacional
Altinópolis;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Altinópolis;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Altinópolis;SP;15/09/2023;Feriado Municipal;Feriado Municipal
Altinópolis;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Altinópolis;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Altinópolis;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Altinópolis;SP;02/11/2023;Dia De Finados;Feriado Nacional
Altinópolis;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Altinópolis;SP;20/11/2023;Dia Da Consciência Negra;Feriado Municipal
Altinópolis;SP;25/12/2023;Natal;Feriado Nacional
Alto Alegre;SP;01/01/2023;Ano Novo;Feriado Nacional
Alto Alegre;SP;20/02/2023;Carnaval;Feriado Nacional
Alto Alegre;SP;21/02/2023;Carnaval;Feriado Nacional
Alto Alegre;SP;22/02/2023;Carnaval;Feriado Nacional
Alto Alegre;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Alto Alegre;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Alto Alegre;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Alto Alegre;SP;08/06/2023;Corpus Christi;Feriado Nacional
Alto Alegre;SP;24/06/2023;Feriado Municipal;Feriado Municipal
Alto Alegre;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Alto Alegre;SP;15/08/2023;Feriado Municipal;Feriado Municipal
Alto Alegre;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Alto Alegre;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Alto Alegre;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Alto Alegre;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Alto Alegre;SP;02/11/2023;Dia De Finados;Feriado Nacional
Alto Alegre;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Alto Alegre;SP;25/12/2023;Natal;Feriado Nacional
Alumínio;SP;01/01/2023;Ano Novo;Feriado Nacional
Alumínio;SP;20/02/2023;Carnaval;Feriado Nacional
Alumínio;SP;21/02/2023;Carnaval;Feriado Nacional
Alumínio;SP;22/02/2023;Carnaval;Feriado Nacional
Alumínio;SP;02/04/2023;Feriado Municipal;Feriado Municipal
Alumínio;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Alumínio;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Alumínio;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Alumínio;SP;08/06/2023;Corpus Christi;Feriado Nacional
Alumínio;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Alumínio;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Alumínio;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Alumínio;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Alumínio;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Alumínio;SP;02/11/2023;Dia De Finados;Feriado Nacional
Alumínio;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Alumínio;SP;25/12/2023;Natal;Feriado Nacional
Álvares Florence;SP;01/01/2023;Ano Novo;Feriado Nacional
Álvares Florence;SP;20/02/2023;Carnaval;Feriado Nacional
Álvares Florence;SP;21/02/2023;Carnaval;Feriado Nacional
Álvares Florence;SP;22/02/2023;Carnaval;Feriado Nacional
Álvares Florence;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Álvares Florence;SP;10/04/2023;Feriado Municipal;Feriado Municipal
Álvares Florence;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Álvares Florence;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Álvares Florence;SP;08/06/2023;Corpus Christi;Feriado Nacional
Álvares Florence;SP;24/06/2023;Feriado Municipal;Feriado Municipal
Álvares Florence;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Álvares Florence;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Álvares Florence;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Álvares Florence;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Álvares Florence;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Álvares Florence;SP;02/11/2023;Dia De Finados;Feriado Nacional
Álvares Florence;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Álvares Florence;SP;25/12/2023;Natal;Feriado Nacional
Álvares Machado;SP;01/01/2023;Ano Novo;Feriado Nacional
Álvares Machado;SP;20/02/2023;Carnaval;Feriado Nacional
Álvares Machado;SP;21/02/2023;Carnaval;Feriado Nacional
Álvares Machado;SP;22/02/2023;Carnaval;Feriado Nacional
Álvares Machado;SP;19/03/2023;São José;Feriado Municipal
Álvares Machado;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Álvares Machado;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Álvares Machado;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Álvares Machado;SP;08/06/2023;Corpus Christi;Feriado Nacional
Álvares Machado;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Álvares Machado;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Álvares Machado;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Álvares Machado;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Álvares Machado;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Álvares Machado;SP;02/11/2023;Dia De Finados;Feriado Nacional
Álvares Machado;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Álvares Machado;SP;30/11/2023;Feriado Municipal;Feriado Municipal
Álvares Machado;SP;25/12/2023;Natal;Feriado Nacional
Álvaro de Carvalho;SP;01/01/2023;Ano Novo;Feriado Nacional
Álvaro de Carvalho;SP;20/02/2023;Carnaval;Feriado Nacional
Álvaro de Carvalho;SP;21/02/2023;Carnaval;Feriado Nacional
Álvaro de Carvalho;SP;22/02/2023;Carnaval;Feriado Nacional
Álvaro de Carvalho;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Álvaro de Carvalho;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Álvaro de Carvalho;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Álvaro de Carvalho;SP;08/06/2023;Corpus Christi;Feriado Nacional
Álvaro de Carvalho;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Álvaro de Carvalho;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Álvaro de Carvalho;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Álvaro de Carvalho;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Álvaro de Carvalho;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Álvaro de Carvalho;SP;02/11/2023;Dia De Finados;Feriado Nacional
Álvaro de Carvalho;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Álvaro de Carvalho;SP;22/11/2023;Feriado Municipal;Feriado Municipal
Álvaro de Carvalho;SP;25/12/2023;Natal;Feriado Nacional
Alvinlândia;SP;01/01/2023;Ano Novo;Feriado Nacional
Alvinlândia;SP;20/02/2023;Carnaval;Feriado Nacional
Alvinlândia;SP;21/02/2023;Carnaval;Feriado Nacional
Alvinlândia;SP;22/02/2023;Carnaval;Feriado Nacional
Alvinlândia;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Alvinlândia;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Alvinlândia;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Alvinlândia;SP;08/06/2023;Corpus Christi;Feriado Nacional
Alvinlândia;SP;13/06/2023;Dia De Santo Antônio;Feriado Municipal
Alvinlândia;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Alvinlândia;SP;08/08/2023;Feriado Municipal;Feriado Municipal
Alvinlândia;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Alvinlândia;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Alvinlândia;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Alvinlândia;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Alvinlândia;SP;02/11/2023;Dia De Finados;Feriado Nacional
Alvinlândia;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Alvinlândia;SP;25/12/2023;Natal;Feriado Nacional
Americana;SP;01/01/2023;Ano Novo;Feriado Nacional
Americana;SP;20/02/2023;Carnaval;Feriado Nacional
Americana;SP;21/02/2023;Carnaval;Feriado Nacional
Americana;SP;22/02/2023;Carnaval;Feriado Nacional
Americana;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Americana;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Americana;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Americana;SP;08/06/2023;Corpus Christi;Feriado Nacional
Americana;SP;13/06/2023;Dia De Santo Antônio;Feriado Municipal
Americana;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Americana;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Americana;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Americana;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Americana;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Americana;SP;02/11/2023;Dia De Finados;Feriado Nacional
Americana;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Americana;SP;19/11/2023;Dia Da Consciência Negra;Feriado Municipal
Americana;SP;25/12/2023;Natal;Feriado Nacional
Américo Brasiliense;SP;01/01/2023;Ano Novo;Feriado Nacional
Américo Brasiliense;SP;20/02/2023;Carnaval;Feriado Nacional
Américo Brasiliense;SP;21/02/2023;Carnaval;Feriado Nacional
Américo Brasiliense;SP;22/02/2023;Carnaval;Feriado Nacional
Américo Brasiliense;SP;21/03/2023;Feriado Municipal;Feriado Municipal
Américo Brasiliense;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Américo Brasiliense;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Américo Brasiliense;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Américo Brasiliense;SP;08/06/2023;Corpus Christi;Feriado Nacional
Américo Brasiliense;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Américo Brasiliense;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Américo Brasiliense;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Américo Brasiliense;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Américo Brasiliense;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Américo Brasiliense;SP;02/11/2023;Dia De Finados;Feriado Nacional
Américo Brasiliense;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Américo Brasiliense;SP;20/11/2023;Dia Da Consciência Negra;Feriado Municipal
Américo Brasiliense;SP;25/12/2023;Natal;Feriado Nacional
Américo de Campos;SP;01/01/2023;Ano Novo;Feriado Nacional
Américo de Campos;SP;20/02/2023;Carnaval;Feriado Nacional
Américo de Campos;SP;21/02/2023;Carnaval;Feriado Nacional
Américo de Campos;SP;22/02/2023;Carnaval;Feriado Nacional
Américo de Campos;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Américo de Campos;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Américo de Campos;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Américo de Campos;SP;08/06/2023;Corpus Christi;Feriado Nacional
Américo de Campos;SP;24/06/2023;Feriado Municipal;Feriado Municipal
Américo de Campos;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Américo de Campos;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Américo de Campos;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Américo de Campos;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Américo de Campos;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Américo de Campos;SP;02/11/2023;Dia De Finados;Feriado Nacional
Américo de Campos;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Américo de Campos;SP;20/11/2023;Dia Da Consciência Negra;Feriado Municipal
Américo de Campos;SP;25/12/2023;Natal;Feriado Nacional
Amparo;SP;01/01/2023;Ano Novo;Feriado Nacional
Amparo;SP;20/02/2023;Carnaval;Feriado Nacional
Amparo;SP;21/02/2023;Carnaval;Feriado Nacional
Amparo;SP;22/02/2023;Carnaval;Feriado Nacional
Amparo;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Amparo;SP;08/04/2023;Feriado Municipal;Feriado Municipal
Amparo;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Amparo;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Amparo;SP;08/06/2023;Corpus Christi;Feriado Nacional
Amparo;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Amparo;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
